BearID,Sex,Age,Capture Date,Year,Pop,TypicalSummerHabitat,SummerHabitatDuringHairGrowth,Lat,Long,d15N Air,d13C VPDB,Percent N,Percent C
6740,F,3,3/14/1988,1988,CS,NA,NA,NA,NA,20.1,-14.1,17.06,49.16
21167,M,3,4/4/2010,2010,CS,NA,NA,67.5253,-164.9582,20.1,-15.3,14.2,41.2
21636,F,3,4/20/2015,2015,CS,NA,NA,67.3425,-165.0136,20.8,-15.4,13.65,39.62
21053,M,3,4/8/2008,2008,CS,NA,NA,66.941,-165.1566,20.5,-15.2,15.1,42.9
21632,F,3,4/17/2017,2017,CS,NA,NA,66.9586,-165.3972,21.3,-15.9,16.36,47.79
21204,M,3,3/23/2011,2011,CS,NA,NA,67.4116,-165.8026,20.8,-16.1,13.5,39.2
21203,F,3,3/22/2011,2011,CS,NA,NA,67.7556,-165.8661,20.7,-15.6,14.3,41.7
21744,M,3,4/17/2017,2017,CS,NA,NA,67.584,-165.9259,20.2,-15.9,15.1,43.52
21708,M,3,3/25/2017,2017,CS,NA,NA,66.7995,-165.9345,20.3,-16,14.49,41.88
21058,M,3,4/9/2008,2008,CS,NA,NA,67.1635,-165.9726,20,-14.9,14.6,42
21081,M,3,4/12/2009,2009,CS,NA,NA,67.848,-166.0664,20.4,-15.1,14.9,43.7
21074,M,3,4/25/2008,2008,CS,NA,NA,67.9043,-166.0771,20.1,-15.7,15.3,44
21724,M,3,3/31/2017,2017,CS,NA,NA,67.6173,-166.2703,20.7,-15.1,13.79,39.85
21177,M,3,4/16/2010,2010,CS,NA,NA,67.8715,-166.4191,20.3,-15,17.2,48.6
21624,M,3,4/14/2015,2015,CS,NA,NA,67.8185,-166.5327,20.5,-15.2,13.83,39.93
21625,M,3,4/14/2015,2015,CS,NA,NA,67.8417,-166.5676,20.9,-15.7,15.03,43.7
21068,F,3,4/21/2008,2008,CS,NA,NA,67.2442,-166.6199,21.2,-15.2,15.2,43.6
21149,M,3,3/29/2010,2010,CS,NA,NA,66.6537,-166.8729,19.7,-15.6,15.4,43.4
21736,M,3,4/8/2017,2017,CS,NA,NA,66.7841,-166.9495,20.2,-16.9,13.65,39.79
21096,M,3,4/5/2009,2009,CS,NA,NA,67.596,-167.0852,19.9,-15.1,15.8,45.6
21145,M,3,3/20/2010,2010,CS,NA,NA,68.1083,-167.2171,19.9,-14.8,15.6,44.3
21495,M,3,3/28/2011,2011,CS,NA,NA,68.3222,-167.9161,20.6,-15.5,15.6,44.5
